id,label
1063,malicious
1064,benign
1065,benign
1066,benign
1067,malicious
1068,benign
1069,malicious
1070,benign
1071,malicious
1072,benign
1073,malicious
1074,benign
1075,malicious
1076,malicious
1077,malicious
1078,malicious
1079,malicious
1080,benign
1081,malicious
1082,malicious
1083,malicious
1084,malicious
1085,benign
1086,malicious
1087,benign
1088,benign
1089,malicious
1090,malicious
1091,benign
1092,malicious
1093,malicious
1094,malicious
1095,malicious
1096,malicious
1097,benign
1098,benign
1099,benign
1100,benign
1101,malicious
1102,benign
1103,malicious
1104,benign
1105,benign
1106,benign
1107,benign
1108,malicious
1109,benign
1110,malicious
1111,malicious
1112,malicious
1113,benign
1114,benign
1115,benign
1116,malicious
1117,benign
1118,benign
1119,malicious
1120,benign
1121,benign
1122,benign
1123,benign
1124,malicious
1125,benign
1126,benign
1127,malicious
1128,malicious
1129,malicious
1130,malicious
1131,malicious
1132,malicious
1133,malicious
1134,malicious
1135,benign
1136,benign
1137,malicious
1138,malicious
1139,malicious
1140,benign
1141,benign
1142,malicious
1143,benign
1144,benign
1145,malicious
1146,malicious
1147,malicious
1148,benign
1149,benign
1150,benign
1151,benign
1152,benign
1153,benign
1154,malicious
1155,benign
1156,benign
1157,malicious
1158,malicious
1159,benign
1160,malicious
1161,benign
1162,benign
1163,benign
1164,benign
1165,malicious
1166,benign
1167,benign
1168,malicious
1169,benign
1170,benign
1171,benign
1172,benign
1173,benign
1174,benign
1175,malicious
1176,benign
1177,malicious
1178,benign
1179,malicious
1180,malicious
1181,malicious
1182,malicious
1183,benign
1184,benign
1185,malicious
1186,malicious
1187,benign
1188,benign
1189,malicious
1190,benign
1191,malicious
1192,malicious
1193,malicious
1194,benign
1195,malicious
1196,benign
1197,benign
1198,malicious
1199,malicious
1200,benign
1201,benign
1202,benign
1203,benign
1204,malicious
1205,malicious
1206,malicious
1207,benign
1208,benign
1209,benign
1210,benign
1211,benign
1212,benign
1213,benign
1214,malicious
1215,malicious
1216,benign
1217,benign
1218,benign
1219,malicious
1220,malicious
1221,benign
1222,benign
1223,malicious
1224,malicious
1225,benign
1226,benign
1227,malicious
1228,benign
1229,malicious
1230,benign
1231,benign
1232,benign
1233,benign
1234,benign
1235,malicious
1236,malicious
1237,malicious
1238,benign
1239,benign
1240,benign
1241,malicious
1242,malicious
1243,malicious
1244,benign
1245,benign
1246,benign
1247,malicious
1248,benign
1249,malicious
1250,malicious
1251,benign
1252,malicious
1253,benign
1254,benign
1255,benign
1256,benign
1257,malicious
1258,benign
1259,benign
1260,benign
1261,malicious
1262,malicious
1263,malicious
1264,malicious
1265,malicious
1266,benign
1267,malicious
1268,benign
1269,malicious
1270,benign
1271,benign
1272,malicious
1273,benign
1274,benign
1275,malicious
1276,benign
1277,malicious
1278,benign
1279,malicious
1280,benign
1281,benign
1282,benign
1283,malicious
1284,benign
1285,benign
1286,benign
1287,benign
1288,benign
1289,benign
1290,malicious
1291,malicious
1292,benign
1293,benign
1294,malicious
1295,benign
1296,benign
1297,malicious
1298,malicious
1299,malicious
1300,malicious
1301,malicious
1302,benign
1303,benign
1304,malicious
1305,malicious
1306,benign
1307,benign
1308,malicious
1309,malicious
1310,malicious
1311,malicious
1312,malicious
1313,malicious
1314,malicious
1315,benign
1316,malicious
1317,benign
1318,malicious
1319,benign
1320,malicious
1321,malicious
1322,benign
1323,malicious
1324,malicious
1325,benign
1326,benign
1327,malicious
1328,malicious
1329,malicious
1330,benign
1331,benign
1332,malicious
1333,benign
1334,benign
1335,benign
1336,malicious
1337,malicious
1338,malicious
1339,benign
1340,benign
1341,malicious
1342,malicious
1343,malicious
1344,malicious
1345,malicious
1346,benign
1347,malicious
1348,benign
1349,malicious
1350,benign
1351,malicious
1352,malicious
1353,malicious
1354,benign
1355,benign
1356,benign
1357,benign
1358,malicious
1359,malicious
1360,malicious
1361,benign
1362,malicious
1363,benign
1364,malicious
1365,benign
1366,malicious
1367,malicious
1368,malicious
1369,benign
1370,benign
1371,benign
1372,malicious
1373,benign
1374,malicious
1375,benign
1376,malicious
1377,malicious
1378,benign
1379,benign
1380,malicious
1381,benign
1382,malicious
1383,benign
1384,benign
1385,benign
1386,malicious
1387,benign
1388,benign
1389,malicious
1390,benign
1391,malicious
1392,malicious
1393,malicious
1394,benign
1395,benign
1396,benign
1397,malicious
1398,benign
1399,malicious
1400,benign
1401,malicious
1402,benign
1403,malicious
1404,benign
1405,benign
1406,benign
1407,malicious
1408,benign
1409,benign
1410,benign
1411,malicious
1412,malicious
1413,benign
1414,benign
1415,benign
1416,benign
1417,malicious
1418,benign
1419,benign
1420,benign
1421,benign
1422,benign
1423,benign
1424,benign
1425,malicious
1426,benign
1427,malicious
1428,malicious
1429,malicious
1430,malicious
1431,benign
1432,benign
1433,benign
1434,benign
1435,malicious
1436,benign
1437,benign
1438,malicious
1439,benign
1440,malicious
1441,malicious
1442,malicious
1443,malicious
1444,benign
1445,benign
1446,malicious
1447,benign
1448,benign
1449,malicious
1450,benign
1451,benign
1452,benign
1453,malicious
1454,benign
1455,malicious
1456,benign
1457,malicious
1458,benign
1459,malicious
1460,malicious
1461,benign
1462,malicious
1463,benign
1464,malicious
1465,benign
1466,malicious
1467,benign
1468,benign
1469,benign
1470,malicious
1471,malicious
1472,benign
1473,benign
1474,benign
1475,benign
1476,malicious
1477,malicious
1478,benign
1479,benign
1480,benign
1481,benign
1482,benign
1483,benign
1484,benign
1485,benign
1486,benign
1487,benign
1488,malicious
1489,malicious
1490,malicious
1491,malicious
1492,benign
1493,malicious
1494,benign
1495,malicious
1496,benign
1497,benign
1498,malicious
1499,benign
1500,benign
1501,benign
1502,malicious
1503,benign
1504,malicious
1505,benign
1506,benign
1507,benign
1508,benign
1509,malicious
1510,benign
1511,benign
1512,malicious
1513,benign
1514,malicious
1515,malicious
1516,benign
1517,malicious
1518,malicious
1519,malicious
1520,benign
1521,benign
1522,benign
1523,benign
1524,malicious
1525,benign
1526,malicious
1527,benign
1528,benign
1529,malicious
1530,benign
1531,malicious
1532,benign
1533,benign
1534,benign
1535,benign
1536,malicious
1537,malicious
1538,malicious
1539,benign
1540,benign
1541,malicious
1542,malicious
1543,malicious
1544,benign
1545,malicious
1546,malicious
1547,benign
1548,benign
1549,malicious
1550,benign
1551,malicious
1552,benign
1553,benign
1554,benign
1555,malicious
1556,malicious
1557,malicious
1558,benign
1559,benign
1560,malicious
1561,malicious
1562,benign
1563,benign
1564,benign
1565,benign
1566,malicious
1567,benign
1568,benign
1569,benign
1570,malicious
1571,malicious
1572,malicious
1573,malicious
1574,benign
1575,malicious
1576,benign
1577,malicious
1578,benign
1579,benign
1580,benign
1581,benign
1582,malicious
1583,malicious
1584,malicious
1585,malicious
1586,malicious
1587,benign
1588,benign
1589,malicious
1590,benign
1591,benign
1592,benign
1593,benign
1594,malicious
1595,malicious
1596,malicious
1597,benign
1598,malicious
1599,benign
1600,benign
1601,malicious
1602,malicious
1603,benign
1604,benign
1605,benign
1606,benign
1607,malicious
1608,malicious
1609,benign
1610,benign
1611,benign
1612,benign
1613,benign
1614,malicious
1615,malicious
1616,malicious
1617,malicious
1618,benign
1619,benign
1620,benign
1621,malicious
1622,benign
1623,malicious
1624,malicious
1625,benign
1626,malicious
1627,malicious
1628,malicious
1629,malicious
1630,malicious
1631,malicious
1632,benign
1633,benign
1634,benign
1635,benign
1636,benign
1637,malicious
1638,malicious
1639,malicious
1640,benign
1641,malicious
1642,malicious
1643,malicious
1644,malicious
1645,malicious
1646,malicious
1647,benign
1648,benign
1649,malicious
1650,benign
1651,malicious
1652,malicious
1653,benign
1654,malicious
1655,malicious
1656,malicious
1657,benign
1658,benign
1659,malicious
1660,benign
1661,benign
1662,benign
1663,malicious
1664,benign
1665,malicious
1666,benign
1667,benign
1668,benign
1669,benign
1670,benign
1671,benign
1672,malicious
1673,malicious
1674,malicious
1675,benign
1676,malicious
1677,malicious
1678,malicious
1679,malicious
1680,benign
1681,malicious
1682,malicious
1683,benign
1684,benign
1685,malicious
1686,benign
1687,benign
1688,malicious
1689,benign
1690,benign
1691,benign
1692,malicious
1693,malicious
1694,benign
1695,benign
1696,malicious
1697,benign
1698,benign
1699,malicious
1700,benign
1701,malicious
1702,benign
1703,malicious
1704,benign
1705,benign
1706,benign
1707,malicious
1708,benign
1709,malicious
1710,benign
1711,benign
1712,malicious
1713,benign
1714,malicious
1715,malicious
1716,malicious
1717,benign
1718,benign
1719,malicious
1720,benign
1721,malicious
1722,benign
1723,benign
1724,malicious
1725,benign
1726,malicious
1727,malicious
1728,benign
1729,malicious
1730,malicious
1731,malicious
1732,benign
1733,benign
1734,benign
1735,malicious
1736,malicious
1737,benign
1738,malicious
1739,benign
1740,benign
1741,benign
1742,benign
1743,malicious
1744,benign
1745,benign
1746,benign
1747,benign
1748,malicious
1749,benign
1750,malicious
1751,benign
1752,benign
1753,benign
1754,benign
1755,malicious
1756,benign
1757,benign
1758,benign
1759,malicious
1760,malicious
1761,benign
1762,malicious
1763,benign
1764,benign
1765,benign
1766,benign
1767,malicious
1768,malicious
1769,benign
1770,malicious
1771,malicious
1772,benign
1773,malicious
1774,malicious
1775,benign
1776,benign
1777,malicious
1778,benign
1779,benign
1780,malicious
1781,benign
1782,benign
1783,benign
1784,benign
1785,malicious
1786,malicious
1787,malicious
1788,malicious
1789,malicious
1790,benign
1791,malicious
1792,benign
1793,benign
1794,malicious
1795,malicious
1796,benign
1797,malicious
1798,benign
1799,benign
1800,benign
1801,benign
1802,benign
1803,malicious
1804,malicious
1805,malicious
1806,malicious
1807,malicious
1808,benign
1809,benign
1810,benign
1811,malicious
1812,malicious
1813,benign
1814,benign
1815,benign
1816,benign
1817,benign
1818,benign
1819,benign
1820,benign
1821,benign
1822,malicious
1823,benign
1824,benign
1825,malicious
1826,benign
1827,benign
1828,benign
1829,benign
1830,malicious
1831,benign
1832,benign
1833,malicious
1834,malicious
1835,malicious
1836,benign
1837,malicious
1838,benign
1839,malicious
1840,benign
1841,benign
1842,malicious
1843,benign
1844,benign
1845,malicious
1846,benign
1847,malicious
1848,malicious
1849,malicious
1850,malicious
1851,benign
1852,malicious
1853,malicious
1854,benign
1855,malicious
1856,malicious
1857,benign
1858,malicious
1859,malicious
1860,malicious
1861,benign
1862,benign
1863,benign
1864,benign
1865,malicious
1866,malicious
1867,benign
1868,benign
1869,benign
1870,benign
1871,malicious
1872,benign
1873,malicious
1874,benign
1875,malicious
1876,benign
1877,malicious
1878,malicious
1879,malicious
1880,benign
1881,benign
1882,benign
1883,benign
1884,malicious
1885,benign
1886,malicious
1887,benign
1888,benign
1889,benign
1890,malicious
1891,malicious
1892,malicious
1893,benign
1894,malicious
1895,malicious
1896,malicious
1897,benign
1898,benign
1899,malicious
1900,benign
1901,malicious
1902,benign
1903,malicious
1904,benign
1905,malicious
1906,benign
1907,benign
1908,benign
1909,benign
1910,malicious
1911,benign
1912,benign
1913,malicious
1914,benign
1915,benign
1916,malicious
1917,benign
1918,malicious
1919,malicious
1920,benign
1921,benign
1922,benign
1923,malicious
1924,benign
1925,benign
1926,benign
1927,malicious
1928,malicious
1929,malicious
1930,benign
1931,malicious
1932,malicious
1933,benign
1934,malicious
1935,malicious
1936,benign
1937,malicious
1938,benign
1939,benign
1940,benign
1941,benign
1942,malicious
1943,benign
1944,benign
1945,malicious
1946,benign
1947,benign
1948,benign
1949,malicious
1950,benign
1951,malicious
1952,benign
1953,malicious
1954,malicious
1955,benign
1956,benign
1957,benign
1958,benign
1959,malicious
1960,malicious
1961,benign
1962,benign
1963,malicious
1964,benign
1965,benign
1966,malicious
1967,benign
1968,malicious
1969,benign
1970,malicious
1971,benign
1972,malicious
1973,malicious
1974,malicious
1975,benign
1976,malicious
1977,benign
1978,malicious
1979,malicious
1980,benign
1981,malicious
1982,malicious
1983,malicious
1984,malicious
1985,malicious
1986,malicious
1987,benign
1988,malicious
1989,malicious
1990,benign
1991,malicious
1992,benign
1993,malicious
1994,malicious
1995,malicious
1996,malicious
1997,benign
1998,malicious
1999,benign
2000,malicious
2001,benign
2002,benign
2003,benign
2004,benign
2005,benign
2006,benign
2007,benign
2008,benign
2009,benign
2010,benign
2011,benign
2012,benign
2013,benign
2014,malicious
2015,malicious
2016,benign
2017,malicious
2018,benign
2019,malicious
2020,malicious
2021,malicious
2022,malicious
2023,benign
2024,malicious
2025,benign
2026,benign
2027,malicious
2028,malicious
2029,malicious
2030,benign
2031,benign
2032,benign
2033,malicious
2034,malicious
2035,benign
2036,malicious
2037,malicious
2038,benign
2039,benign
2040,benign
2041,malicious
2042,benign
2043,malicious
2044,malicious
2045,malicious
2046,benign
2047,malicious
2048,malicious
2049,malicious
2050,malicious
2051,benign
2052,benign
2053,malicious
2054,malicious
2055,benign
2056,malicious
2057,malicious
2058,benign
2059,malicious
2060,benign
2061,malicious
2062,malicious
2063,benign
2064,benign
2065,benign
2066,benign
2067,malicious
2068,malicious
2069,benign
2070,malicious
2071,benign
2072,malicious
2073,benign
2074,malicious
2075,malicious
2076,benign
2077,malicious
2078,malicious
2079,benign
2080,benign
2081,malicious
2082,benign
2083,benign
2084,benign
2085,benign
2086,benign
2087,benign
2088,malicious
2089,benign
2090,malicious
2091,malicious
2092,benign
2093,benign
2094,malicious
2095,benign
2096,benign
2097,benign
2098,malicious
2099,benign
2100,malicious
2101,malicious
2102,benign
2103,benign
2104,malicious
2105,benign
2106,malicious
2107,benign
2108,benign
2109,benign
2110,malicious
2111,benign
2112,benign
2113,benign
2114,malicious
2115,malicious
2116,benign
2117,benign
2118,malicious
2119,malicious
2120,malicious
2121,malicious
2122,malicious
2123,malicious
2124,benign
2125,benign
2126,benign
2127,malicious
2128,malicious
2129,benign
2130,malicious
2131,benign
2132,benign
2133,malicious
2134,benign
2135,malicious
2136,benign
2137,benign
2138,benign
2139,benign
2140,benign
2141,benign
2142,benign
2143,benign
2144,malicious
2145,benign
2146,benign
2147,benign
2148,benign
2149,benign
2150,malicious
2151,benign
2152,malicious
2153,benign
2154,malicious
2155,malicious
2156,benign
2157,malicious
2158,malicious
2159,malicious
2160,benign
2161,benign
2162,malicious
2163,benign
2164,malicious
2165,benign
2166,benign
2167,benign
2168,malicious
2169,benign
2170,benign
2171,benign
2172,malicious
2173,malicious
2174,malicious
2175,benign
2176,benign
2177,malicious
2178,malicious
2179,benign
2180,malicious
2181,benign
2182,malicious
2183,benign
2184,malicious
2185,benign
2186,malicious
2187,malicious
2188,malicious
2189,benign
2190,malicious
2191,benign
2192,benign
2193,benign
2194,malicious
2195,malicious
2196,benign
2197,benign
2198,benign
2199,benign
2200,malicious
2201,malicious
2202,benign
2203,benign
2204,malicious
2205,malicious
2206,benign
2207,benign
2208,benign
2209,benign
2210,benign
2211,benign
2212,benign
2213,malicious
2214,malicious
2215,malicious
2216,benign
2217,malicious
2218,benign
2219,benign
2220,benign
2221,benign
2222,benign
2223,malicious
2224,malicious
2225,malicious
2226,benign
2227,benign
2228,benign
2229,malicious
2230,benign
2231,benign
2232,benign
2233,malicious
2234,malicious
2235,benign
2236,benign
2237,malicious
2238,benign
2239,benign
2240,malicious
2241,benign
2242,benign
2243,malicious
2244,malicious
2245,malicious
2246,malicious
2247,benign
2248,malicious
2249,malicious
2250,benign
2251,benign
2252,malicious
2253,malicious
2254,malicious
2255,benign
2256,malicious
2257,malicious
2258,benign
2259,benign
2260,benign
2261,malicious
2262,benign
2263,benign
2264,malicious
2265,benign
2266,malicious
2267,benign
2268,benign
2269,benign
2270,benign
2271,benign
2272,benign
2273,malicious
2274,benign
2275,malicious
2276,malicious
2277,malicious
2278,malicious
2279,malicious
2280,benign
2281,benign
2282,benign
2283,benign
2284,benign
2285,malicious
2286,malicious
2287,malicious
2288,benign
2289,benign
2290,malicious
2291,benign
2292,malicious
2293,malicious
2294,malicious
2295,benign
2296,malicious
2297,benign
2298,malicious
2299,benign
2300,benign
2301,malicious
2302,malicious
2303,benign
2304,benign
2305,malicious
2306,malicious
2307,malicious
2308,benign
2309,benign
2310,malicious
2311,benign
2312,malicious
2313,malicious
2314,malicious
2315,benign
2316,malicious
2317,benign
2318,malicious
2319,malicious
2320,malicious
2321,benign
